method,dataset,sequence,vr,rmse_m,p_max,esr_camera,rr_camera,esr_measurement,rr_measurement,esr_gps,rr_gps
fixed_high,euroc,MH_01_easy,0.0,0.13820334214629806,0.08459444491149118,20.0,0.0,20.0,0.0,,
fixed_high,euroc,MH_02_easy,0.0,0.14367255630407214,0.08459444491149118,20.0,0.0,20.0,0.0,,
fixed_high,euroc,MH_03_medium,0.0,0.21124923985138483,0.08459444491149118,19.993964086313568,0.0,19.993964086313568,0.0,,
fixed_high,euroc,MH_04_medium,0.0,0.1873092249799442,0.08459444491149118,20.0,0.0,20.0,0.0,,
fixed_high,euroc,MH_05_difficult,0.0,0.17189277878643155,0.08459444491149118,19.99909995049728,0.0,19.99909995049728,0.0,,
fixed_high,euroc,V1_01_easy,0.0,0.092377464458939,0.08459444491149118,20.0,0.0,20.0,0.0,,
fixed_high,euroc,V1_02_medium,0.0,0.20333386271821663,0.08459444491149118,20.0,0.0,20.0,0.0,,
fixed_high,euroc,V1_03_difficult,0.0,0.1936903001335322,0.08459444491149118,19.99047619047619,0.0,19.99047619047619,0.0,,
fixed_high,euroc,V2_01_easy,0.0,0.07317283165925294,0.08459444491149118,20.0,0.0,20.0,0.0,,
fixed_high,euroc,V2_02_medium,0.0,0.15670982729051217,0.08459444491149118,19.991300565463245,0.0,19.991300565463245,0.0,,
fixed_high,euroc,V2_03_difficult,0.0,0.1659443326114368,0.08459444491149118,16.362046348928725,0.0,16.362046348928725,0.0,,
fixed_low,euroc,MH_01_easy,0.0,0.19587375265008217,0.08459444491149118,10.0,50.0,10.0,50.0,,
fixed_low,euroc,MH_02_easy,0.0,0.20416395869390938,0.08459444491149118,10.0,50.0,10.0,50.0,,
fixed_low,euroc,MH_03_medium,0.0,0.29931048260115706,0.08459444491149118,9.996982043156784,50.0,9.996982043156784,50.0,,
fixed_low,euroc,MH_04_medium,0.0,0.2691233678735062,0.08459444491149118,10.0,50.0,10.0,50.0,,
fixed_low,euroc,MH_05_difficult,0.0,0.24643927414088962,0.08459444491149118,9.99954997524864,50.0,9.99954997524864,50.0,,
fixed_low,euroc,V1_01_easy,0.0,0.12908163931178232,0.08459444491149118,10.0,50.0,10.0,50.0,,
fixed_low,euroc,V1_02_medium,0.0,0.27646177769164304,0.08459444491149118,10.0,50.0,10.0,50.0,,
fixed_low,euroc,V1_03_difficult,0.0,0.24838789073764178,0.08459444491149118,9.99047619047619,50.02382086707956,9.99047619047619,50.02382086707956,,
fixed_low,euroc,V2_01_easy,0.0,0.10127894658342036,0.08459444491149118,10.0,50.0,10.0,50.0,,
fixed_low,euroc,V2_02_medium,0.0,0.20724848840044324,0.08459444491149118,9.995650282731622,50.0,9.995650282731622,50.0,,
fixed_low,euroc,V2_03_difficult,0.0,0.2222394630238608,0.08459444491149118,8.185395714910362,49.97327632282202,8.185395714910362,49.97327632282202,,
fixed_matched,euroc,MH_01_easy,0.0,0.23357161334283003,0.08459444491149118,6.668502202643172,66.65748898678414,6.668502202643172,66.65748898678414,,
fixed_matched,euroc,MH_02_easy,0.0,0.24341159057116873,0.08459444491149118,6.668896321070235,66.65551839464882,6.668896321070235,66.65551839464882,,
