family,method,esr_measurement,rmse_m,area_over_threshold,vr,pareto_area,pareto_rmse
budget,delay_aware,2.176701373170364,0.6783264670410218,0.0057824511874232,0.20539082541119663,False,True
budget,event_trigger,2.750113173381621,0.6122190118279437,0.005862995794535931,0.20242945525878978,False,True
budget,fixed_low,4.4910970273125095,0.6012311296915027,0.0064553520080451,0.2293364267390976,False,True
budget,fixed_matched,3.6630451184548063,0.6069619043963785,0.00620368451847755,0.22169722347970425,False,True
budget,heuristic,3.6630451184548063,0.6268598230061017,0.00645541226827595,0.22925154670288211,False,False
budget,sb_sched,1.9956890144195036,0.6877339270310646,0.005456196488824075,0.1878866757205372,True,True
latency,delay_aware,4.591486008416747,0.6742748434838155,0.0,0.0,True,True
latency,event_trigger,5.0642992471874315,0.4500585229765923,2.8580087265751375e-05,0.005277232868903289,False,True
latency,fixed_low,8.344650671495398,0.4783684286742827,2.985162770080009e-06,0.00023053836996796666,False,False
latency,fixed_matched,5.5614238049729225,0.5445418587983641,8.533396816932206e-06,0.0012616736247338222,False,False
latency,heuristic,6.105494358097346,0.5411992824710129,3.0816760503976606e-06,0.00023892158342135556,False,False
latency,sb_sched,2.452802140627323,0.6926645002915792,1.708926762886467e-05,0.0036676558858541337,True,True
