method,dataset,sequence,motion_level,vr,rmse_m,esr_camera
fixed_low,euroc,MH_01_easy,low,0.0,0.19587375265008217,10.0
fixed_matched,euroc,MH_01_easy,low,0.0,0.23357161334283003,6.668502202643172
heuristic,euroc,MH_01_easy,low,0.0,0.256728585908311,6.668502202643172
event_trigger,euroc,MH_01_easy,low,0.0,0.1899685346478606,2.4394273127753303
sb_sched,euroc,MH_01_easy,low,0.0,0.34548645923610166,2.494553376906318
fixed_low,euroc,MH_03_medium,medium,0.0,0.29931048260115706,9.996982043156784
fixed_matched,euroc,MH_03_medium,medium,0.0,0.3609658188325466,6.669684623509884
heuristic,euroc,MH_03_medium,medium,0.0,0.38268430500111583,6.669684623509884
event_trigger,euroc,MH_03_medium,medium,0.0,0.2764296033615684,5.605854836275841
sb_sched,euroc,MH_03_medium,medium,0.0,0.5612207076070245,2.4899658094247066
fixed_low,euroc,MH_05_difficult,high,0.0,0.24643927414088962,9.99954997524864
fixed_matched,euroc,MH_05_difficult,high,0.0,0.2961746892628866,6.660366320147608
heuristic,euroc,MH_05_difficult,high,0.0,0.32338635398625426,6.669366815174834
event_trigger,euroc,MH_05_difficult,high,0.0,0.25946226730661154,2.8711579136852525
sb_sched,euroc,MH_05_difficult,high,0.0,0.45399240473830443,2.493258476636753
fixed_low,tumvi,room1,low,0.0,0.30796471113076335,10.028238360726956
fixed_matched,tumvi,room1,low,0.0,0.34825722922915175,6.690319310694373
heuristic,tumvi,room1,low,0.0,0.3543443807572336,6.646875678806747
event_trigger,tumvi,room1,low,0.0,0.29071369833771127,8.189124610817464
sb_sched,tumvi,room1,low,0.0,0.48011106568655015,2.4980372564413673
fixed_low,tumvi,corridor1,high,0.0,0.11147143880486989,10.030225764509211
fixed_matched,tumvi,corridor1,high,0.0,0.1261258683082369,6.686817176339474
heuristic,tumvi,corridor1,high,0.0,0.13019415446792287,6.629405109673933
event_trigger,tumvi,corridor1,high,0.0,0.11282682598447336,2.8300771685719592
sb_sched,tumvi,corridor1,high,0.0,0.16872039165885297,2.5058284832525453
