scenario,method,vr,rmse_m,area_over_threshold,max_overshoot,recovery_steps_mean,recovery_steps_max,esr_camera
random_drop_10,fixed_low,0.0,0.35073079086486386,0.0,0.0,,,9.038780745435341
random_drop_10,fixed_matched,0.0,0.41418914561127607,0.0,0.0,,,6.020823902218199
random_drop_10,heuristic,0.0,0.4284634163594501,0.0,0.0,,,6.405613399728384
random_drop_10,event_trigger,0.00011317338162064282,0.32423074563862997,3.252544631626904e-08,0.0003187105856637257,,,5.3870529651425985
random_drop_10,delay_aware,0.0,0.5737713311454684,0.0,0.0,,,2.821789648408028
random_drop_10,sb_sched,0.0,0.6009676594738934,0.0,0.0,,,2.4899658094247066
random_drop_30,fixed_low,0.0,0.39131241204388983,0.0,0.0,,,6.994114984155727
random_drop_30,fixed_matched,0.0,0.46104169762693403,0.0,0.0,,,4.662743322770485
random_drop_30,heuristic,0.0,0.4546815487924684,0.0,0.0,,,5.824656707409084
random_drop_30,event_trigger,0.006564056133997284,0.34211721254525956,2.2316364284608464e-05,0.010770198498498015,,,4.745737135958956
random_drop_30,delay_aware,0.0012071827372868568,0.5846871392723216,3.7793031211550144e-06,0.008307235294747611,,,2.716161158895428
random_drop_30,sb_sched,0.002791610079975856,0.6145193239105307,1.0556502638160675e-05,0.014015707289464385,,,2.4379366731083696
random_drop_50,fixed_low,0.0019616719480911424,0.45725743267259783,9.839666382240697e-06,0.014642038763465065,,,5.002263467632413
random_drop_50,fixed_matched,0.01384487701825864,0.5404975150536728,0.00014606700676080074,0.03549243250984821,,,3.342387203862985
random_drop_50,heuristic,0.0019616719480911424,0.5101170634931234,9.862273196644392e-06,0.014645607219178042,,,4.791006488607213
random_drop_50,event_trigger,0.025916704391127206,0.3810984806519187,0.00019451579275586508,0.02774896272849199,,,3.9384336803983704
random_drop_50,delay_aware,0.014259846084200997,0.5999985094938535,8.854598806472806e-05,0.023638376957092255,,,2.565263316734571
random_drop_50,sb_sched,0.03459333031537649,0.6360988102445125,0.0003029422048024588,0.04166114984330824,,,2.2967147316783114
burst_1s,fixed_low,0.060585483627584126,0.4402473647019223,0.0012561883367256663,0.04332493638622792,11.0,11.0,8.344650671495398
burst_1s,fixed_matched,0.07967406066093255,0.5056383135992615,0.002227101697786108,0.059562770906164825,11.0,21.0,5.560585483627585
burst_1s,heuristic,0.08099441677984005,0.5190277796694781,0.0022993694992090017,0.06095562088300285,1.0,1.0,5.83974649162517
burst_1s,event_trigger,0.10955183340878226,0.43548744703920106,0.004953250281681897,0.13954138186571746,1.0,1.0,4.775916704391127
burst_1s,delay_aware,0.1104572204617474,0.6594192494468027,0.004404541939303595,0.08822502676656432,1.0,1.0,2.504904179870228
burst_1s,sb_sched,0.1450882752376641,0.7269819258711073,0.008132882904674916,0.12875371651188874,1.0,1.0,2.170358257767207
burst_3s,fixed_low,0.26765504753282027,1.448215270549829,0.0639693867583262,0.6290076218323839,11.0,11.0,6.609325486645542
burst_3s,fixed_matched,0.2806699864191942,1.5272111072139578,0.07211214230962959,0.6830512352473755,11.0,11.0,4.406216991097027
burst_3s,heuristic,0.2767089180624717,1.5086297709937102,0.06951808684349663,0.6660929540182924,1.0,1.0,4.858910517579599
burst_3s,event_trigger,0.30560585483627584,1.4818032557509662,0.08965242609643036,0.9050158602795151,1.0,1.0,3.636637996076656
burst_3s,delay_aware,0.31650822393239775,1.7192597331324229,0.09793163996126904,0.8574155269610026,1.0,1.0,2.097480006035914
burst_3s,sb_sched,0.3036819073487249,1.6398710440900446,0.08713289035101522,0.780736921930019,1.0,1.0,1.8804816411476142
