dataset,sequence,scheduler,setting,vr,aot,rmse_m,p_max,esr_camera,esr_primary,n_eval_points,n_predict_steps,profile_description,measurement_noise_std_m,dropout_prob,fixed_delay_events,jitter_delay_events,outlier_prob,outlier_std_m,bias_walk_std_m,external_measurement_source,delivered_measurements,dropped_measurements,warmup_steps
euroc,MH_03_medium,fixed_high,oracle,0.0,0.0,0.2112492398513849,0.08459444491149115,19.993964086313568,19.993964086313568,2700,27008,Current repository behaviour: no corruption.,0.0,0.0,0,0,0.0,0.0,0.0,,2700,0,500
euroc,MH_03_medium,event_trigger,oracle,0.0,0.0,0.2764296033615683,0.08459444491149115,5.605854836275841,5.605854836275841,2700,27008,Current repository behaviour: no corruption.,0.0,0.0,0,0,0.0,0.0,0.0,,2700,0,500
euroc,MH_03_medium,sb_sched,oracle,0.0,0.0,0.5612207076070241,0.08459444491149115,2.497359287762185,2.497359287762185,2700,27008,Current repository behaviour: no corruption.,0.0,0.0,0,0,0.0,0.0,0.0,,2700,0,500
euroc,MH_03_medium,fixed_high,noisy,0.0,0.0,0.40607431406409245,0.13380841193143567,19.993964086313568,19.993964086313568,2700,27008,Camera-position proxy with moderate Gaussian noise and rare outliers.,0.2,0.0,0,0,0.01,1.0,0.0,,2700,0,500
euroc,MH_03_medium,event_trigger,noisy,0.0,0.0,0.4595161392365344,0.13380841193143567,5.500226346763242,5.500226346763242,2700,27008,Camera-position proxy with moderate Gaussian noise and rare outliers.,0.2,0.0,0,0,0.01,1.0,0.0,,2700,0,500
euroc,MH_03_medium,sb_sched,noisy,0.0,0.0,0.8480098155042428,0.13380841193143567,3.1613097932699565,3.1613097932699565,2700,27008,Camera-position proxy with moderate Gaussian noise and rare outliers.,0.2,0.0,0,0,0.01,1.0,0.0,,2700,0,500
euroc,MH_03_medium,fixed_high,noisy_dropout,0.0,0.0,0.43458562586028726,0.13380841193143567,16.176248679643884,16.176248679643884,2190,27008,Noisy camera proxy with 20% frame loss.,0.2,0.2,0,0,0.01,1.0,0.0,,2190,510,500
euroc,MH_03_medium,event_trigger,noisy_dropout,0.0018484985664704995,6.7593510117666574e-06,0.4838636701449001,0.13380841193143567,5.0173532518484985,5.0173532518484985,2190,27008,Noisy camera proxy with 20% frame loss.,0.2,0.2,0,0,0.01,1.0,0.0,,2190,510,500
euroc,MH_03_medium,sb_sched,noisy_dropout,0.0008676625924249283,1.6213245932543312e-06,0.8531511665864844,0.13380841193143567,3.0934057642975707,3.0934057642975707,2190,27008,Noisy camera proxy with 20% frame loss.,0.2,0.2,0,0,0.01,1.0,0.0,,2190,510,500
euroc,MH_03_medium,fixed_high,noisy_delay,0.0,0.0,0.4033403396988574,0.13380841193143567,20.016598762637695,20.016598762637695,2700,27008,Noisy camera proxy with 1-3 frame delivery latency.,0.2,0.0,1,2,0.01,1.0,0.0,,2700,0,500
euroc,MH_03_medium,event_trigger,noisy_delay,0.0006413158291836427,1.2057196484593117e-06,0.45548127979771524,0.13380841193143567,5.288969367738042,5.288969367738042,2700,27008,Noisy camera proxy with 1-3 frame delivery latency.,0.2,0.0,1,2,0.01,1.0,0.0,,2700,0,500
euroc,MH_03_medium,sb_sched,noisy_delay,0.0,0.0,0.8425009873704783,0.13380841193143567,3.078315980081485,3.078315980081485,2700,27008,Noisy camera proxy with 1-3 frame delivery latency.,0.2,0.0,1,2,0.01,1.0,0.0,,2700,0,500
