dataset,sequence,scheduler,setting,vr,aot,rmse_m,p_max,esr_gps,esr_primary,n_eval_points,n_predict_steps,profile_description,measurement_noise_std_m,dropout_prob,fixed_delay_events,jitter_delay_events,outlier_prob,outlier_std_m,bias_walk_std_m,external_measurement_source,delivered_measurements,dropped_measurements,warmup_steps
kitti,2011_09_26_drive_0005_sync,fixed_high,gps_raw,0.0,0.0,0.01436528169092265,7.602812241430141,9.999999999999998,9.999999999999998,1648,1648,Current repository behaviour: raw ENU GPS.,0.0,0.0,0,0,0.0,0.0,0.0,,1648,0,500
kitti,2011_09_26_drive_0005_sync,event_trigger,gps_raw,0.0,0.0,0.18655154683511835,7.602812241430141,0.25261324041811845,0.25261324041811845,1648,1648,Current repository behaviour: raw ENU GPS.,0.0,0.0,0,0,0.0,0.0,0.0,,1648,0,500
kitti,2011_09_26_drive_0005_sync,sb_sched,gps_raw,0.0,0.0,0.17925522407852834,7.602812241430141,0.27003484320557486,0.27003484320557486,1648,1648,Current repository behaviour: raw ENU GPS.,0.0,0.0,0,0,0.0,0.0,0.0,,1648,0,500
kitti,2011_09_26_drive_0005_sync,fixed_high,gps_noisy,0.0,0.0,1.955929818392444,10.12333732009416,9.999999999999998,9.999999999999998,1648,1648,GPS with added 1.5 m noise and slow drift.,1.5,0.0,0,0,0.0,0.0,0.03,,1648,0,500
kitti,2011_09_26_drive_0005_sync,event_trigger,gps_noisy,0.0,0.0,2.6367494208343385,10.12333732009416,0.6794425087108014,0.6794425087108014,1648,1648,GPS with added 1.5 m noise and slow drift.,1.5,0.0,0,0,0.0,0.0,0.03,,1648,0,500
kitti,2011_09_26_drive_0005_sync,sb_sched,gps_noisy,0.0,0.0,2.4907490920810056,10.12333732009416,0.6707317073170731,0.6707317073170731,1648,1648,GPS with added 1.5 m noise and slow drift.,1.5,0.0,0,0,0.0,0.0,0.03,,1648,0,500
kitti,2011_09_26_drive_0005_sync,fixed_high,gps_dropout,0.0,0.0,1.336094575084097,10.12333732009416,7.012195121951219,7.012195121951219,1145,1648,"GPS with 30% dropout, representing tunnels / urban canyon outages.",1.5,0.3,0,0,0.0,0.0,0.03,,1145,503,500
kitti,2011_09_26_drive_0005_sync,event_trigger,gps_dropout,0.005226480836236934,0.001871294618088819,2.1001110411494657,10.12333732009416,0.6358885017421602,0.6358885017421602,1145,1648,"GPS with 30% dropout, representing tunnels / urban canyon outages.",1.5,0.3,0,0,0.0,0.0,0.03,,1145,503,500
kitti,2011_09_26_drive_0005_sync,sb_sched,gps_dropout,0.0008710801393728223,1.6828004250070577e-05,2.0032835600611594,10.12333732009416,0.6620209059233448,0.6620209059233448,1145,1648,"GPS with 30% dropout, representing tunnels / urban canyon outages.",1.5,0.3,0,0,0.0,0.0,0.03,,1145,503,500
kitti,2011_09_26_drive_0005_sync,fixed_high,gps_delay,0.0,0.0,1.1388427262003415,10.12333732009416,10.14808362369338,10.14808362369338,1648,1648,GPS with 100-300 ms latency at 10 Hz.,1.5,0.0,1,2,0.0,0.0,0.03,,1648,0,500
kitti,2011_09_26_drive_0005_sync,event_trigger,gps_delay,0.003484320557491289,0.0004019934082011212,2.0337428481244055,10.12333732009416,0.6620209059233448,0.6620209059233448,1648,1648,GPS with 100-300 ms latency at 10 Hz.,1.5,0.0,1,2,0.0,0.0,0.03,,1648,0,500
kitti,2011_09_26_drive_0005_sync,sb_sched,gps_delay,0.0,0.0,2.0763374263307863,10.12333732009416,0.6620209059233448,0.6620209059233448,1648,1648,GPS with 100-300 ms latency at 10 Hz.,1.5,0.0,1,2,0.0,0.0,0.03,,1648,0,500
